DATASET, #TRAINING_RELEASES, %TRAINING_INSTANCES, CLASSIFIER, BALANCING, PRECISION, RECALL, AUC, KAPPA, TP, FP, TN, FN
zookeeper,2,78.02340702210664,Naive Bayes,Oversampling,0.9757869249394673,0.9829268292682927,0.823,0.20701076455975684,806.0,20.0,5.0,14.0
zookeeper,3,84.5943482224248,Naive Bayes,Oversampling,0.8637992831541219,0.9972413793103448,0.6309540229885058,0.0773719879518076,723.0,114.0,6.0,2.0
zookeeper,4,86.38297872340425,Naive Bayes,Oversampling,0.9509433962264151,0.8842105263157894,0.7698913951545531,0.41002004008016013,756.0,39.0,66.0,99.0
zookeeper,5,89.04109589041096,Naive Bayes,Oversampling,0.8444444444444444,0.987012987012987,0.8089986329460014,0.33701657458563544,760.0,140.0,50.0,10.0
zookeeper,6,90.67961165048544,Naive Bayes,Oversampling,0.9125475285171103,0.9411764705882353,0.8835461706049942,0.6155548529876698,720.0,69.0,126.0,45.0
zookeeper,7,92.78702518139139,Naive Bayes,Oversampling,0.8906474820143885,0.9523076923076923,0.8502840236686391,0.6119944211994421,619.0,76.0,119.0,31.0
zookeeper,8,91.02468212415856,Naive Bayes,Oversampling,0.9594298245614035,0.8177570093457944,0.8147915168943206,0.34758155230596166,875.0,37.0,93.0,195.0
zookeeper,9,92.25806451612904,Naive Bayes,Oversampling,0.8966507177033493,0.9323383084577115,0.7341523153463452,0.412599082186066,937.0,108.0,87.0,68.0
zookeeper,10,93.15068493150685,Naive Bayes,Oversampling,0.8675889328063241,0.9291005291005291,0.7999771760556075,0.4464334893968604,878.0,134.0,121.0,67.0
zookeeper,11,93.79345866597991,Naive Bayes,Oversampling,0.8503118503118503,0.9242937853107345,0.8238312146892656,0.5137551516078753,818.0,144.0,176.0,67.0
zookeeper,12,93.60505973295854,Naive Bayes,Oversampling,0.8835555555555555,0.8954954954954955,0.7352093269740329,0.39061949301884225,994.0,131.0,124.0,116.0
zookeeper,13,94.85152745139928,Naive Bayes,Oversampling,0.906679764243615,0.9276381909547738,0.8337927733907633,0.496717478022734,923.0,95.0,115.0,72.0
zookeeper,14,94.6585795343377,Naive Bayes,Oversampling,0.898458748866727,0.9091743119266055,0.8278215179316096,0.5109313047095881,991.0,112.0,163.0,99.0
zookeeper,15,95.07842076798269,Naive Bayes,Oversampling,0.8962181178540017,0.9613207547169811,0.881232601299103,0.6311845224439855,1019.0,118.0,187.0,41.0
zookeeper,16,95.41192230408573,Naive Bayes,Oversampling,0.9029649595687331,0.9571428571428572,0.8906547619047619,0.6651650932093737,1005.0,108.0,212.0,45.0
zookeeper,17,96.19496855345912,Naive Bayes,Oversampling,0.8892156862745098,0.9597883597883597,0.8685195168214036,0.5938423919084138,907.0,113.0,152.0,38.0
zookeeper,18,96.40842980112794,Naive Bayes,Oversampling,0.918,0.9714285714285714,0.9029350104821803,0.7154169813356347,918.0,82.0,183.0,27.0
zookeeper,19,96.11297539149888,Naive Bayes,Oversampling,0.8940092165898618,0.9238095238095239,0.8616050420168068,0.6066893999854893,970.0,115.0,225.0,80.0
zookeeper,20,96.32857897517168,Naive Bayes,Oversampling,0.8602540834845736,0.948,0.8454923076923077,0.6010755384658251,948.0,154.0,236.0,52.0
zookeeper,21,96.48770697441044,Naive Bayes,Oversampling,0.8678373382624769,0.9437185929648241,0.8783820336249147,0.6308075587713021,939.0,143.0,262.0,56.0
zookeeper,22,96.11592825751276,Naive Bayes,Oversampling,0.9983179142136249,0.7282208588957055,0.8241717791411043,0.007299519050380164,1187.0,2.0,3.0,443.0
zookeeper,23,96.14073666849917,Naive Bayes,Oversampling,1.0,0.8467236467236468,0.8483820336249245,0.0,1486.0,0.0,0.0,269.0
zookeeper,1,65.78947368421052,IBk,Oversampling,0.9684095860566448,0.9877777777777778,0.6598765432098765,0.23976608187134513,889.0,29.0,7.0,11.0
zookeeper,2,78.02340702210664,IBk,Oversampling,0.9747983870967742,0.9827235772357723,0.775829945799458,0.17156862745098145,967.0,25.0,5.0,17.0
zookeeper,3,84.5943482224248,IBk,Oversampling,0.8628230616302187,0.9977011494252873,0.6152139208173691,0.0649699652228896,868.0,138.0,6.0,2.0
zookeeper,4,86.38297872340425,IBk,Oversampling,0.9500531349628055,0.8713450292397661,0.7584006312076488,0.3845492639948428,894.0,47.0,79.0,132.0
zookeeper,5,89.04109589041096,IBk,Oversampling,0.8413284132841329,0.987012987012987,0.7683009607351713,0.31619696500464556,912.0,172.0,56.0,12.0
zookeeper,6,90.67961165048544,IBk,Oversampling,0.9165775401069519,0.9335511982570807,0.8778513304657095,0.6169149944018604,857.0,78.0,156.0,61.0
zookeeper,7,92.78702518139139,IBk,Oversampling,0.8904933814681107,0.9487179487179487,0.8369849879465264,0.6060606060606061,740.0,91.0,143.0,40.0
zookeeper,8,91.02468212415856,IBk,Oversampling,0.9596700274977086,0.8154205607476636,0.8093997124370956,0.34557310872181046,1047.0,44.0,112.0,237.0
zookeeper,9,92.25806451612904,IBk,Oversampling,0.8931419457735247,0.9286898839137645,0.7128903204773852,0.3881240439438185,1120.0,134.0,100.0,86.0
zookeeper,10,93.15068493150685,IBk,Oversampling,0.8706176961602671,0.9197530864197531,0.7904116379061913,0.44737728855442005,1043.0,155.0,151.0,91.0
zookeeper,11,93.79345866597991,IBk,Oversampling,0.8518197573656846,0.9256120527306968,0.8143305182831136,0.5200732834156443,983.0,171.0,213.0,79.0
zookeeper,12,93.60505973295854,IBk,Oversampling,0.8873668188736682,0.8753753753753754,0.7320580384305875,0.38303752644988553,1166.0,148.0,158.0,166.0
zookeeper,13,94.85152745139928,IBk,Oversampling,0.9043693322341303,0.9187604690117253,0.8008012948339581,0.4724959666231644,1097.0,116.0,136.0,97.0
zookeeper,14,94.6585795343377,IBk,Oversampling,0.8996937212863706,0.8983180428134556,0.8140105180242795,0.5002149702508911,1175.0,131.0,199.0,133.0
zookeeper,15,95.07842076798269,IBk,Oversampling,0.9010416666666666,0.9520440251572327,0.8779899989689659,0.6330034924330616,1211.0,133.0,233.0,61.0
zookeeper,16,95.41192230408573,IBk,Oversampling,0.9072243346007605,0.9468253968253968,0.8844101355820105,0.6620815660685155,1193.0,122.0,262.0,67.0
zookeeper,17,96.19496855345912,IBk,Oversampling,0.8869492934330839,0.9409171075837742,0.8356030858651404,0.5567045659628226,1067.0,136.0,182.0,67.0
zookeeper,18,96.40842980112794,IBk,Oversampling,0.9223628691983122,0.9638447971781305,0.8980372256053598,0.7158420736659957,1093.0,92.0,226.0,41.0
zookeeper,19,96.11297539149888,IBk,Oversampling,0.8927738927738927,0.9119047619047619,0.8439095082477436,0.5867984671036139,1149.0,138.0,270.0,111.0
zookeeper,20,96.32857897517168,IBk,Oversampling,0.8638102524866106,0.9408333333333333,0.8387348646723647,0.6025059432889646,1129.0,178.0,290.0,71.0
zookeeper,21,96.48770697441044,IBk,Oversampling,0.8710443037974683,0.9221105527638191,0.8629205699278284,0.6128920763846885,1101.0,163.0,323.0,93.0
zookeeper,22,96.11592825751276,IBk,Oversampling,0.9985704074338814,0.7142126789366053,0.8207651670074982,0.008056797720304742,1397.0,2.0,4.0,559.0
zookeeper,23,96.14073666849917,IBk,Oversampling,1.0,0.8395061728395061,0.8307651670074934,0.0,1768.0,0.0,0.0,338.0
zookeeper,1,65.78947368421052,Random Forest,SMOTE,0.9668284789644013,0.7966666666666666,0.6153944444444445,0.0364181662382176,1195.0,41.0,19.0,305.0
zookeeper,2,78.02340702210664,Random Forest,SMOTE,0.9776876267748479,0.8817073170731707,0.7447012195121951,0.08657348984499631,1446.0,33.0,17.0,194.0
zookeeper,3,84.5943482224248,Random Forest,SMOTE,0.8787878787878788,0.96,0.6053132183908047,0.2085940134117558,1392.0,192.0,48.0,58.0
zookeeper,4,86.37331440738112,Random Forest,SMOTE,0.957679180887372,0.8204678362573099,0.7684697855750487,0.34744404531638595,1403.0,62.0,148.0,307.0
